"","X13_Trophic.lvl_2.2.5","X13_Trophic.lvl_2.6.3.5","X13_Trophic.lvl_3.6.4.5","X13_Trophic.lvl_4.6.5","X14_Feeding.type_grazing","X14_Feeding.type_ambusher","X14_Feeding.type_active.predator","X15_Diet_herbivore","X15_Diet_zoobenthivore","X15_Diet_detritus","X15_Diet_omnivore","X15_Diet_zooplankton","X15_Diet_piscivore","X17_Spawning.habitat_pelagic","X17_Spawning.habitat_benthic","X5_Max.length_20cm","X5_Max.length_20.50cm","X5_Max.length_50.100cm","X5_Max.length_100cm","X16_Spawning.period_spring","X16_Spawning.period_summer","X16_Spawning.period_autumn","X16_Spawning.period_winter"
"Symp ros",0.055,0.6165,0.3243,0.0042,0.888888889,0,0.111111111,0,0.777777778,0,0,0.111111111,0.111111111,0,1,1,0,0,0,0.625,0.375,0,0
"Symp tin",0.007,0.881333,0.111667,0,1,0,0,0.090909091,0.909090909,0,0,0,0,0,1,1,0,0,0,0.642857143,0.357142857,0,0
"Syng acu",0,0.888333,0.111667,0,0.952380952,0,0.047619048,0,0.523809524,0,0,0.428571429,0.047619048,1,0,0.4,0.6,0,0,0.352941176,0.352941176,0.176470588,0.117647059
"Syng typ",0,0.888333,0.111667,0,0.9,0,0.1,0,0.6,0,0,0.3,0.1,0,1,0.4,0.6,0,0,0.375,0.375,0.25,0
"Syno sau",0.0105,0.1125,0.419875,0.457125,0.28,0.72,0,0,0.28,0,0,0,0.72,1,0,0.392156863,0.607843137,0,0,0.428571429,0.428571429,0,0.142857143
"Torp mar",0.0105,0.127071,0.448179,0.41425,0.8,0,0.2,0,0.8,0,0,0,0.2,0,1,0.615384615,0.384615385,0,0,0.272727273,0.409090909,0.318181818,0
"Torp nob",0,0.089,0.46,0.451,0,0,1,0,0,0,0,0,1,0,1,0,0.666666667,0.333333333,0,0.5,0,0,0.5
"Torp tor",0.003,0.131333,0.594334,0.271333,0.666666667,0,0.333333333,0,0.666666667,0,0,0,0.333333333,0,1,0.375,0.625,0,0,0.1875,0.375,0.4375,0
"Trac dra",0.007875,0.192,0.447125,0.353,0.333333333,0.666666667,0,0,0.333333333,0,0,0,0.666666667,1,0,0,1,0,0,0,1,0,0
"Trac rad",0.0175,0.2375,0.343,0.402,0,0,0,0,0,0,0,0,0,1,0,0.1,0.9,0,0,0.2,0.6,0.2,0
"Trac med",0,0.271333,0.721667,0.007,0.47826087,0,0.52173913,0.043478261,0.217391304,0,0,0.217391304,0.52173913,1,0,1,0,0,0,0.318181818,0.545454545,0.136363636,0
"Trac tra",0.0175,0.311,0.537167,0.134333,0.653846154,0,0.346153846,0.038461538,0.346153846,0,0,0.269230769,0.346153846,1,0,0.830188679,0.167924528,0,0.001886792,0.292682927,0.414634146,0.146341463,0.146341463
"Trig luc",0.021,0.536167,0.425333,0.0175,0.686440678,0,0.313559322,0.008474576,0.593220339,0,0,0.084745763,0.313559322,1,0,0.794117647,0.205882353,0,0,0.285714286,0,0.285714286,0.428571429
"Trig las",0.043667,0.524933,0.4146,0.0168,1,0,0,0,0.857142857,0,0,0.142857143,0,1,0,0.951890034,0.048109966,0,0,0.6,0,0,0.4
"Tris min",0.098714,0.358411,0.402875,0.14,0.841121495,0,0.158878505,0,0.710280374,0,0,0.130841121,0.158878505,1,0,1,0,0,0,0.476190476,0,0,0.523809524
"Upen mol",0,0.385667,0.614333,0,0.833333333,0,0.166666667,0,0.75,0,0,0.083333333,0.166666667,1,0,1,0,0,0,0.5,0.3,0.1,0.1
"Upen por",0.043667,0.5135,0.426033,0.0168,1,0,0,0,1,0,0,0,0,1,0,0.826086957,0,0,0.173913043,0.333333333,0.666666667,0,0
"Uran sca",0.009,0.125333,0.463667,0.402,0.3125,0.6875,0,0,0.3125,0,0,0,0.6875,1,0,0.727557411,0.272442589,0,0,0.285714286,0.428571429,0.142857143,0.142857143
"Zeus fab",0.0105,0.1125,0.419875,0.457125,0.327586207,0,0.672413793,0,0.25862069,0,0,0.068965517,0.672413793,1,0,0.496240602,0.501253133,0.002506266,0,0.25,0.375,0,0.375
